MCW	O	O
1863946	O	O
PE	O	Observation
CT	O	Modality
THORAX	O	Anatomy
&	O	O
CT	O	Modality
PELVIS	O	Anatomy
-LRB-	O	O
915A-B	O	O
-RRB-	O	O
:	O	O
COMPARISON	O	O
:	O	O
NONE	O	O
.	O	O
HELICAL	O	O
ACQUISITION	O	O
WAS	O	O
PERFORMED	O	O
THROUGH	O	O
THE	O	O
CHEST	O	Anatomy
AFTER	O	O
THE	O	O
IV	O	O
ADMINISTRATION	O	O
OF	O	O
115	O	O
CC	O	O
OF	O	O
VISIPAQUE	O	O
AND	O	O
1.25	O	O
MM	O	O
AXIAL	O	O
IMAGES	O	O
WERE	O	O
CONSTRUCTED	O	O
.	O	O
DELAYED	O	O
NONCONTIGUOUS	O	O
5	O	O
MM	O	O
IMAGES	O	O
WERE	O	O
OBTAINED	O	O
THROUGH	O	O
THE	O	O
THIGHS	O	Anatomy
.	O	O
CORONAL	O	O
AND	O	O
SAGITTAL	O	O
RECONSTRUCTIONS	O	O
WERE	O	O
OBTAINED	O	O
.	O	O
SUBOPTIMAL	3_Yellow_Days	Observation_Modifier
OPACIFICATION	3_Yellow_Days	Observation
OF	3_Yellow_Days	O
PULMONARY	3_Yellow_Days	Anatomy
ARTERIAL	3_Yellow_Days	Anatomy
VASCULATURE	3_Yellow_Days	Observation_Modifier
IS	O	O
PRESENT	O	O
.	O	O
NO	O	Uncertainty
EVIDENCE	O	Uncertainty
OF	O	Uncertainty
ACUTE	O	Observation_Modifier
OR	O	O
CHRONIC	O	Observation_Modifier
PULMONARY	O	Anatomy
THROMBOEMBOLUS	O	Observation
IS	O	O
IDENTIFIED	O	O
.	O	O
DISTAL	3_Yellow_Days	Anatomy_Modifier
PULMONARY	3_Yellow_Days	Anatomy
ARTERIES	3_Yellow_Days	Anatomy
ARE	3_Yellow_Days	O
ENLARGED	3_Yellow_Days	Observation
MOST	O	Uncertainty
CONSISTENT	O	Uncertainty
WITH	O	Uncertainty
VASCULAR	O	Anatomy
CONGESTION	O	Observation
.	O	O
DIFFUSE	3_Yellow_Days	Observation_Modifier
GROUND-GLASS	3_Yellow_Days	Observation
OPACITIES	3_Yellow_Days	Observation
ARE	O	O
NOTED	O	O
THROUGHOUT	3_Yellow_Days	O
THE	3_Yellow_Days	O
UPPER	3_Yellow_Days	Anatomy_Modifier
,	3_Yellow_Days	O
MIDDLE	3_Yellow_Days	Anatomy_Modifier
,	3_Yellow_Days	O
AND	3_Yellow_Days	O
LOWER	3_Yellow_Days	Anatomy
LOBES	3_Yellow_Days	Anatomy
MOST	3_Yellow_Days	Uncertainty
CONSISTENT	3_Yellow_Days	Uncertainty
WITH	3_Yellow_Days	Uncertainty
INTERSTITIAL	3_Yellow_Days	Anatomy_Modifier
EDEMA	3_Yellow_Days	Observation
.	O	O
BILATERAL	O	Anatomy_Modifier
LOWER	O	Anatomy
LOBE	O	Anatomy
ATELECTASIS	O	Observation
IS	O	O
PRESENT	O	O
WITH	O	O
SMALL	3_Yellow_Days	Observation_Modifier
EFFUSIONS	3_Yellow_Days	Observation
,	O	O
RIGHT	O	Anatomy_Modifier
GREATER	O	Observation_Modifier
THAN	O	O
LEFT	O	O
.	O	O
GREAT	O	Anatomy
VESSELS	O	Anatomy
,	O	O
THORACIC	O	Anatomy
AORTA	O	Anatomy
,	O	O
AND	O	O
MEDIASTINUM	O	Anatomy
ARE	O	O
NORMAL	O	Observation
.	O	O
THE	O	O
HEART	3_Yellow_Days	Anatomy
IS	3_Yellow_Days	O
ENLARGED	3_Yellow_Days	Observation
.	3_Yellow_Days	O
CALCIFIC	3_Yellow_Days	Observation_Modifier
ATHEROSCLEROTIC	3_Yellow_Days	Observation
VASCULAR	3_Yellow_Days	Anatomy
DISEASE	3_Yellow_Days	O
OF	3_Yellow_Days	O
THE	3_Yellow_Days	O
CORONARY	3_Yellow_Days	Anatomy
VESSELS	3_Yellow_Days	Anatomy
IS	O	O
PRESENT	O	O
.	O	O
LIMITED	O	O
IMAGES	O	O
OF	O	O
THE	O	O
UPPER	O	Anatomy_Modifier
ABDOMEN	O	Anatomy
ARE	O	O
NORMAL	O	Observation
.	O	O
REASONABLE	O	Observation_Modifier
OPACIFICATION	O	Observation
OF	O	O
THE	O	O
DEEP	O	Anatomy
VENOUS	O	Anatomy
SYSTEM	O	Anatomy
IS	O	O
PRESENT	O	O
FROM	O	O
THE	O	O
ILIAC	O	Anatomy
VEINS	O	Anatomy
THROUGH	O	O
POPLITEAL	O	Anatomy
VEINS	O	Anatomy
.	O	O
NO	O	Uncertainty
THROMBOSIS	O	Observation
PRESENT	O	O
.	O	O
MULTIPLE	O	Observation_Modifier
SURGICAL	O	Observation
CLIPS	O	Observation
ARE	O	O
NOTED	O	O
THROUGHOUT	O	O
THE	O	O
LOWER	O	Anatomy_Modifier
ABDOMEN	O	Anatomy
AND	O	O
PELVIS	O	Anatomy
CONSISTENT	O	Uncertainty
WITH	O	Uncertainty
CYSTOPROSTATECTOMY	O	Observation
CHANGES	O	O
.	O	O
NO	O	Uncertainty
FOCAL	O	Observation_Modifier
OSSEOUS	O	Anatomy
DESTRUCTIVE	O	Observation_Modifier
LESIONS	O	Observation
ARE	O	O
PRESENT	O	O
.	O	O
SIGNIFICANT	O	Observation_Modifier
OSTEOPHYTE	O	Observation
FORMATION	O	O
AND	O	O
DEGENERATIVE	O	Observation
CHANGES	O	O
THROUGHOUT	O	O
THE	O	O
THORACOLUMBAR	O	Anatomy_Modifier
SPINE	O	Anatomy
ARE	O	O
PRESENT	O	O
.	O	O
OVERLYING	O	O
SOFT	O	Anatomy
TISSUES	O	Anatomy
ARE	O	O
OTHERWISE	O	O
UNREMARKABLE	O	Observation
.	O	O
1	O	O
.	O	O
SOMEWHAT	3_Yellow_Days	O
SUBOPTIMAL	3_Yellow_Days	O
EXAMINATION	3_Yellow_Days	O
WITH	3_Yellow_Days	O
NO	3_Yellow_Days	Uncertainty
EVIDENCE	3_Yellow_Days	Uncertainty
OF	3_Yellow_Days	Uncertainty
PULMONARY	3_Yellow_Days	Anatomy
THROMBOEMBOLISM	3_Yellow_Days	Observation
OR	3_Yellow_Days	O
DEEP	3_Yellow_Days	Anatomy
VENOUS	3_Yellow_Days	Anatomy
THROMBOSIS	3_Yellow_Days	Observation
.	O	O
2	O	O
.	O	O
CARDIOMEGALY	3_Yellow_Days	Observation
WITH	3_Yellow_Days	O
