CTA010	O	NN	cta010	P
CT	O	NN	ct	P
Chest/PE	O	NN	chest/p	P
study	O	NN	studi	P
CT	O	NN	ct	P
05/11/2007	O	CD	05/11/2007	P
</EXAM_CODES>	O	NN	</exam_codes>	P
<	O	JJR	<	P
REPOCT	O	CD	repoct	P
of	O	IN	of	P
the	O	DT	the	P
chest	O	NN	chest	P
with	O	IN	with	P
intravenous	O	JJ	intraven	P
contrast	O	NN	contrast	P
using	O	VBG	us	P
the	O	DT	the	P
pulmonary	O	JJ	pulmonari	P
embolism	O	NN	embol	P
protocol	O	NN	protocol	P
is	O	VBZ	be	P
negative	O	JJ	neg	P
for	O	IN	for	N
pulmonary	O	JJ	pulmonari	N
embolism	O	NN	embol	P
.	O	.	.	P
Several	O	JJ	sever	P
of	O	IN	of	P
the	O	DT	the	P
patient	O	NN	patient	P
's	O	POS	's	P
known	O	JJ	known	P
hepatic	O	JJ	hepat	P
metastases	O	NNS	metastas	P
are	O	VBP	be	P
faintly	O	RB	faintli	P
visualized	O	VBN	visual	P
and	O	CC	and	P
are	O	VBP	be	P
grossly	O	RB	grossli	P
unchanged	O	JJ	unchang	P
since	O	IN	sinc	P
CT	O	NN	ct	P
of	O	IN	of	P
the	O	DT	the	P
abdomen	O	NN	abdomen	P
and	O	CC	and	P
pelvis	O	NN	pelvi	P
dated	O	JJ	date	P
12/13/06	O	CD	12/13/06	P
.	O	.	.	P
Several	O	JJ	sever	P
subcentimeter	O	NN	subcentimet	P
indeterminate	O	JJ	indetermin	P
pulmonary	Anatomy	JJ	pulmonari	P
nodules	O	NNS	nodul	P
in	O	IN	in	P
the	O	DT	the	P
right	O	JJ	right	P
lung	O	NN	lung	P
.	O	.	.	P
Three	O	CD	three	P
of	O	IN	of	P
these	O	DT	these	P
nodules	O	NNS	nodul	P
in	O	IN	in	P
the	O	DT	the	P
right	O	JJ	right	P
lung	O	NN	lung	P
base	O	NN	base	P
are	O	VBP	be	P
unchanged	O	JJ	unchang	P
since	O	IN	sinc	P
CT	O	NN	ct	P
of	O	IN	of	P
the	O	DT	the	P
abdomen	O	NN	abdomen	P
dated	O	VBN	date	P
10/4/06	O	CD	10/4/06	P
.	O	.	.	P
Changes	O	NNS	chang	P
of	O	IN	of	P
centrilobular	O	JJ	centrilobular	P
emphysema	O	NN	emphysema	P
.	O	.	.	P
A	O	DT	a	P
few	O	JJ	few	P
prominent	O	JJ	promin	P
paratracheal	O	NN	paratrach	P
and	O	CC	and	P
right	O	JJ	right	P
cardiophrenic	O	JJ	cardiophren	P
angle	O	NN	angl	P
lymph	O	NN	lymph	P
nodes	O	NNS	node	P
.	O	.	.	P
Port‑A‑Cath	O	NN	port‑a‑cath	P
.	O	.	.	P
Bilateral	O	JJ	bilater	P
mastectomies	O	NNS	mastectomi	P
.	O	.	.	P
Old	O	JJ	old	P
right	O	JJ	right	P
rib	O	NN	rib	P
fracture	O	NN	fractur	P
.	O	.	.	P
