MCW	O	NN	mcw	P	B
1868689	O	CD	1868689	P	B
RIGHT	O	NN	right	P	B
LUNG	O	NN	lung	P	I
MASS	O	NN	mass	P	E
CT	O	NNP	ct	P	B
THORAX	O	NNP	thorax	P	I
CT	O	NNP	ct	P	I
EXAMINATION	O	NNP	examin	P	I
OF	O	IN	of	P	I
THE	O	DT	the	P	I
CHEST	O	NN	chest	P	E
WAS	O	VBD	be	P	O
PERFORMED	O	JJ	perform	P	B
FOLLOWING	O	NNP	follow	P	I
INTRAVENOUS	O	NNP	intraven	P	I
CONTRAST	O	NNP	contrast	P	I
ADMINISTRATION	O	NNP	administr	P	E
,	O	,	,	P	O
WITH	O	IN	with	P	O
HELICAL	O	JJ	helic	P	B
IMAGING	O	NN	imag	P	I
FROM	O	IN	from	P	I
THE	O	DT	the	P	I
LUNG	O	NN	lung	P	I
APICES	O	NN	apex	P	E
THROUGH	O	IN	through	P	O
THE	O	DT	the	P	B
LUNG	O	NN	lung	P	I
BASES	O	NNS	basi	P	E
.	O	.	.	P	O
THERE	O	NNP	there	P	B
ARE	O	VBP	be	P	O
NO	O	NN	no	P	O
OLD	O	JJ	old	N	B
STUDIES	O	NNS	studi	N	E
AT	O	IN	at	N	O
THIS	O	NNP	thi	N	B
INSTITUTION	O	NNP	institut	N	E
FOR	O	IN	for	N	O
COMPARISON	O	NNP	comparison	N	B
.	O	.	.	P	O
THERE	O	VB	there	P	O
IS	O	VBZ	be	P	O
A	O	DT	a	P	B
MASS	1_Red_Minutes	NN	mass	P	I
IN	O	IN	in	P	I
THE	O	DT	the	P	I
ANTERIOR	O	JJ	anterior	P	I
SEGMENT	O	NN	segment	P	I
OF	O	IN	of	P	I
THE	O	DT	the	P	I
RIGHT	1_Red_Minutes	NN	right	P	I
UPPER	1_Red_Minutes	NNP	upper	P	I
LOBE	1_Red_Minutes	NNP	lobe	P	I
CONTAINING	O	NNP	contain	P	I
CENTRAL	O	NNP	central	P	I
CAVITATION	1_Red_Minutes	NNP	cavit	P	I
,	O	,	,	P	I
WHICH	O	WDT	which	P	I
MEASURES	O	NNS	measur	P	I
APPROXIMATELY	O	RB	approxim	P	E
3.7	O	CD	3.7	P	B
X	O	NN	x	P	I
2.3	O	CD	2.3	P	I
CM	O	NN	cm	P	E
.	O	.	.	P	O
THIS	O	NNP	thi	P	B
ABUTS	O	VBZ	abut	P	O
THE	O	DT	the	P	B
ANTERIOR	O	NN	anterior	P	I
MEDIASTINUM	O	NN	mediastinum	P	I
AND	O	CC	and	P	I
THE	O	DT	the	P	I
ANTERIOR	O	JJ	anterior	P	I
CHEST	O	NN	chest	P	I
WALL	O	NNP	wall	P	I
PLEURA	O	NNP	pleura	P	E
.	O	.	.	P	O
THIS	O	NNP	thi	P	B
IS	1_Red_Minutes	VBZ	be	P	O
HIGHLY	1_Red_Minutes	RB	highli	P	O
SUSPICIOUS	1_Red_Minutes	JJ	suspici	P	O
FOR	1_Red_Minutes	IN	for	P	O
PRIMARY	1_Red_Minutes	NNP	primari	P	B
CARCINOMA	1_Red_Minutes	NNP	carcinoma	P	I
OF	1_Red_Minutes	IN	of	P	I
THE	1_Red_Minutes	DT	the	P	I
LUNG	1_Red_Minutes	NN	lung	P	E
.	O	.	.	P	O
THE	O	DT	the	P	B
MASS	O	NNP	mass	P	E
APPEARS	O	VBZ	appear	P	O
TO	O	TO	to	P	O
EXTEND	O	VB	extend	P	O
CENTRALLY	O	RB	central	P	O
ALONG	O	IN	along	P	O
THE	O	DT	the	P	B
BRONCHOVASCULAR	O	NN	bronchovascular	P	I
BUNDLE	O	NN	bundl	P	I
TO	O	TO	to	P	I
THE	O	DT	the	P	I
REGION	O	NN	region	P	I
OF	O	IN	of	P	I
THE	O	DT	the	P	I
RIGHT	O	NN	right	P	I
HILUM	O	NN	hilum	P	E
.	O	.	.	P	O
THE	O	DT	the	P	B
ANTERIOR	O	NN	anterior	P	I
SEGMENT	O	JJ	segment	P	I
RIGHT	O	NN	right	P	I
UPPER	O	NNP	upper	P	I
LOBE	O	NNP	lobe	P	I
BRONCHUS	O	NNPS	bronchu	P	I
AND	O	CC	and	P	I
ITS	O	NNPS	it	P	I
FIRST	O	NNP	first	P	I
TWO	O	CD	two	P	I
BRANCHES	O	NNS	branch	P	E
APPEAR	O	VBP	appear	P	O
NARROWED	O	VBN	narrow	P	O
.	O	.	.	P	O
SOFT	O	JJ	soft	P	B
TISSUE	O	NN	tissu	P	E
EXTENDS	O	VBZ	extend	P	O
CENTRALLY	O	RB	central	P	O
AROUND	O	IN	around	P	O
THE	O	DT	the	P	B
RIGHT	O	NNP	right	P	I
UPPER	O	NNP	upper	P	I
LOBE	O	NNP	lobe	P	I
BRONCHUS	O	NNP	bronchu	P	E
.	O	.	.	P	O
ABNORMAL	O	JJ	abnorm	P	B
SOFT	O	JJ	soft	P	I
TISSUE	O	NN	tissu	P	E
EXTENDS	O	VBZ	extend	P	O
TO	O	TO	to	P	O
THE	O	DT	the	P	B
SUBCARINAL	O	JJ	subcarin	P	I
REGION	O	NN	region	P	E
.	O	.	.	P	O
THERE	O	VB	there	P	O
IS	O	VBZ	be	P	O
A	O	DT	a	P	B
NECROTIC	1_Red_Minutes	NN	necrot	P	I
APPEARING	O	VBG	appear	P	I
MASS	1_Red_Minutes	NNP	mass	P	I
IN	1_Red_Minutes	IN	in	P	I
THE	1_Red_Minutes	DT	the	P	I
RIGHT	1_Red_Minutes	NNP	right	P	I
LOWER	1_Red_Minutes	NNP	lower	P	I
PARATRACHEAL	1_Red_Minutes	NNP	paratrach	P	I
REGION	1_Red_Minutes	NNP	region	P	I
WITH	O	IN	with	P	I
ILL-DEFINED	O	JJ	ill-defin	P	I
MARGINS	O	NNS	margin	P	I
WHICH	O	WDT	which	P	I
APPEARS	O	VBZ	appear	P	I
SOMEWHAT	O	RB	somewhat	P	I
SEPARATE	O	JJ	separ	P	I
FROM	O	IN	from	P	I
THE	O	DT	the	P	I
PRIMARY	O	JJ	primari	P	I
RIGHT	O	NN	right	P	I
UPPER	O	NNP	upper	P	I
LOBE	O	NNPS	lobe	P	I
AND	O	CC	and	P	I
RIGHT	O	NN	right	P	I
HILAR	O	NN	hilar	P	I
MASS	O	NNS	mass	P	I
AND	O	CC	and	P	I
IS	1_Red_Minutes	VBZ	be	P	I
SUSPICIOUS	1_Red_Minutes	NNP	suspici	P	I
FOR	1_Red_Minutes	IN	for	P	I
MALIGNANT	1_Red_Minutes	JJ	malign	P	I
LYMPHADENOPATHY	1_Red_Minutes	NN	lymphadenopathi	P	E
.	O	.	.	P	O
THIS	O	NNP	thi	P	B
MEASURES	O	NNPS	measur	P	I
APPROXIMATELY	O	NNP	approxim	P	I
3.3	O	CD	3.3	P	I
X	O	NN	x	P	I
2.9	O	CD	2.9	P	I
CM	O	NN	cm	P	I
.	O	.	.	P	E
THERE	O	NNP	there	P	B
ARE	O	VBP	be	P	O
SEVERAL	1_Red_Minutes	CD	sever	P	B
ADDITIONAL	1_Red_Minutes	JJ	addit	P	I
NODES	1_Red_Minutes	NNS	node	P	I
IN	1_Red_Minutes	IN	in	P	I
THE	1_Red_Minutes	DT	the	P	I
RIGHT	1_Red_Minutes	NN	right	P	I
PARATRACHEAL	1_Red_Minutes	NN	paratrach	P	I
REGION	1_Red_Minutes	NN	region	P	I
,	1_Red_Minutes	,	,	P	I
MOST	1_Red_Minutes	JJS	most	P	I
OF	1_Red_Minutes	IN	of	P	I
WHICH	1_Red_Minutes	WDT	which	P	I
APPEAR	1_Red_Minutes	NN	appear	P	I
NECROTIC	1_Red_Minutes	NN	necrot	P	E
.	O	.	.	P	O
LEFT	O	NNP	left	P	B
LOWER	O	NNP	lower	P	I
PARATRACHEAL	O	NNP	paratrach	P	I
NODES	O	NNP	node	P	I
ALL	O	NN	all	P	E
ARE	O	VBP	be	P	O
SMALL	O	NNP	small	P	B
,	O	,	,	P	O
AS	O	JJ	as	P	B
IS	O	VBZ	be	P	O
A	O	DT	a	P	B
SMALL	O	NNP	small	P	I
ANTERIOR	O	NN	anterior	P	I
MEDIASTINAL	O	NN	mediastin	P	I
LYMPH	O	NN	lymph	P	I
NODE	O	NN	node	P	E
.	O	.	.	P	O
THE	O	DT	the	P	B
RIGHT	1_Red_Minutes	NNP	right	P	I
VOCAL	1_Red_Minutes	NNP	vocal	P	I
CORD	1_Red_Minutes	NNP	cord	P	E
APPEARS	1_Red_Minutes	VBZ	appear	P	O
ADDUCTED	1_Red_Minutes	NNP	adduct	P	B
,	1_Red_Minutes	,	,	P	I
RAISING	1_Red_Minutes	NNP	rais	P	E
THE	1_Red_Minutes	DT	the	P	B
POSSIBILITY	1_Red_Minutes	NN	possibl	P	I
OF	1_Red_Minutes	IN	of	P	I
VOCAL	1_Red_Minutes	JJ	vocal	P	I
CORD	1_Red_Minutes	NN	cord	P	I
PARALYSIS	1_Red_Minutes	NN	paralysi	P	E
.	O	.	.	P	O
AT	O	IN	at	P	O
LUNG	O	NN	lung	P	B
WINDOW	O	NN	window	P	I
SETTINGS	O	NNS	set	P	E
,	O	,	,	P	O
DIFFUSE	3_Yellow_Days	NNP	diffus	P	B
MODERATE	3_Yellow_Days	NNP	moder	P	I
CENTRILOBULAR	3_Yellow_Days	NNP	centrilobular	P	I
EMPHYSEMA	3_Yellow_Days	NNP	emphysema	P	E
IS	3_Yellow_Days	VBZ	be	P	O
SEEN	3_Yellow_Days	NNP	seen	P	B
.	O	.	.	P	O
