MCW	O	NN	mcw	P	B
1863946	O	CD	1863946	P	B
PE	O	NN	pe	P	B
CT	O	NNP	ct	P	B
THORAX	O	NNP	thorax	P	I
&	O	CC	&	P	I
CT	O	NNP	ct	P	I
PELVIS	O	NNP	pelvi	P	I
-LRB-	O	-LRB-	-lrb-	P	I
915A-B	O	NN	915a-b	P	I
-RRB-	O	-RRB-	-rrb-	P	I
:	O	:	:	P	I
COMPARISON	O	NNP	comparison	P	I
:	O	:	:	P	I
NONE	O	NN	none	P	I
.	O	.	.	P	E
HELICAL	O	JJ	helic	P	B
ACQUISITION	O	NNP	acquisit	P	I
WAS	O	NNP	wa	P	E
PERFORMED	O	VBD	perform	P	O
THROUGH	O	IN	through	P	O
THE	O	DT	the	P	B
CHEST	O	NN	chest	P	E
AFTER	O	IN	after	P	O
THE	O	DT	the	P	B
IV	O	CD	iv	P	I
ADMINISTRATION	O	NNP	administr	P	I
OF	O	IN	of	P	I
115	O	CD	115	P	I
CC	O	NN	cc	P	I
OF	O	IN	of	P	I
VISIPAQUE	O	NNPS	visipaqu	P	I
AND	O	CC	and	P	I
1.25	O	CD	1.25	P	I
MM	O	NN	mm	P	I
AXIAL	O	NN	axial	P	I
IMAGES	O	NNS	imag	P	E
WERE	O	VBD	be	P	O
CONSTRUCTED	O	VBN	construct	P	O
.	O	.	.	P	O
DELAYED	O	VBN	delai	P	O
NONCONTIGUOUS	O	NNS	noncontigu	P	B
5	O	CD	5	P	B
MM	O	NN	mm	P	I
IMAGES	O	NNS	imag	P	E
WERE	O	VBD	be	P	O
OBTAINED	O	VBN	obtain	P	O
THROUGH	O	IN	through	P	O
THE	O	DT	the	P	B
THIGHS	O	NNS	thigh	P	E
.	O	.	.	P	O
CORONAL	O	NNP	coron	P	B
AND	O	CC	and	P	I
SAGITTAL	O	NNP	sagitt	P	I
RECONSTRUCTIONS	O	NNP	reconstruct	P	E
WERE	O	VBD	be	P	O
OBTAINED	O	VBN	obtain	P	O
.	O	.	.	P	O
SUBOPTIMAL	3_Yellow_Days	JJ	suboptim	P	B
OPACIFICATION	3_Yellow_Days	NNS	opacif	P	I
OF	3_Yellow_Days	IN	of	P	I
PULMONARY	3_Yellow_Days	NN	pulmonari	P	I
ARTERIAL	3_Yellow_Days	NN	arteri	P	I
VASCULATURE	3_Yellow_Days	NN	vasculatur	P	E
IS	O	VBZ	be	P	O
PRESENT	O	NNP	present	P	B
.	O	.	.	P	O
NO	O	DT	no	P	B
EVIDENCE	O	NNP	evid	P	I
OF	O	IN	of	N	I
ACUTE	O	NNP	acut	N	I
OR	O	NN	or	N	I
CHRONIC	O	JJ	chronic	N	I
PULMONARY	O	NN	pulmonari	N	I
THROMBOEMBOLUS	O	NN	thromboembolu	N	E
IS	O	VBZ	be	N	O
IDENTIFIED	O	NNP	identifi	N	B
.	O	.	.	P	O
DISTAL	3_Yellow_Days	JJ	distal	P	B
PULMONARY	3_Yellow_Days	NN	pulmonari	P	I
ARTERIES	3_Yellow_Days	NNS	arteri	P	E
ARE	3_Yellow_Days	VBP	be	P	O
ENLARGED	3_Yellow_Days	JJ	enlarg	P	O
MOST	O	JJS	most	P	B
CONSISTENT	O	JJ	consist	P	I
WITH	O	IN	with	P	I
VASCULAR	O	JJ	vascular	P	I
CONGESTION	O	NN	congest	P	E
.	O	.	.	P	O
DIFFUSE	3_Yellow_Days	NNP	diffus	P	B
GROUND-GLASS	3_Yellow_Days	NNP	ground-glass	P	I
OPACITIES	3_Yellow_Days	NNP	opac	P	E
ARE	O	VBP	be	P	O
NOTED	O	VBN	note	P	O
THROUGHOUT	3_Yellow_Days	IN	throughout	P	O
THE	3_Yellow_Days	DT	the	P	B
UPPER	3_Yellow_Days	NNP	upper	P	I
,	3_Yellow_Days	,	,	P	I
MIDDLE	3_Yellow_Days	NNP	middl	P	I
,	3_Yellow_Days	,	,	P	I
AND	3_Yellow_Days	CC	and	P	I
LOWER	3_Yellow_Days	JJR	lower	P	I
LOBES	3_Yellow_Days	NNS	lobe	P	I
MOST	3_Yellow_Days	JJS	most	P	E
CONSISTENT	3_Yellow_Days	JJ	consist	P	O
WITH	3_Yellow_Days	IN	with	P	O
